;LDMC;SLA;height;growthform;life_history;clonal_strategy;lat_spread;leaf_distr
Spiraea hypericifolia;553;12.4;57.63461538;dwarfshrub;perennial;phalanx;sev_stems;leafystem
Stellaria graminea;;;8;forb;perennial;guerilla;sgl_shoot;leafystem
Stipa capillata;572;6.1;30.60869565;grass;perennial;phalanx;tussock;(semi)rosette
Stipa lessingiana;523;8.4;23.71774194;grass;perennial;phalanx;tussock;(semi)rosette
Stipa pennata;574;9.1;37.91666667;grass;perennial;phalanx;tussock;(semi)rosette
Stipa sareptana;553;6.6;27.265625;grass;perennial;phalanx;tussock;(semi)rosette
Stipa zalesskii;597;5.2;25.16666667;grass;perennial;phalanx;tussock;(semi)rosette
Syrenia siliculosa;272;7.1;42.66666667;forb;ann/biennial;none;sgl_shoot;leafystem
Takhtajaniantha pusilla;;;13.75;forb;perennial;none;sgl_shoot;leafystem
Tanacetum achilleifolium;288;14.3;13.62820513;forb;perennial;phalanx;tussock;(semi)rosette
Taraxacum glaucanthum;;;;forb;perennial;none;sgl_shoot;(semi)rosette
Taraxacum sp;;;;forb;perennial;none;sgl_shoot;(semi)rosette
Tauscheria lasiocarpa;;;22.5;forb;ann/biennial;none;sgl_shoot;leafystem
Thymus marschallianus;297;21.9;10.5;forb;perennial;phalanx;sev_stems;leafystem
Tulipa biflora;;;14;forb;perennial;none;sgl_shoot;(semi)rosette
Tulipa gesneriana;145;14;30.25;forb;perennial;none;sgl_shoot;leafystem
Tulipa patens;;;11.69230769;forb;perennial;none;sgl_shoot;(semi)rosette
Valeriana tuberosa;;;40;forb;perennial;none;sgl_shoot;(semi)rosette
Verbascum phoenicium;221;12.9;1.33333;forb;perennial;none;sgl_shoot;(semi)rosette
Veronica hispidula;;;;forb;;;;
Veronica prostrata;;;15.75;forb;perennial;phalanx;sev_stems;leafystem
Veronica sp;;;;forb;;;;
Veronica spicata;312;10.6;18.75;forb;perennial;phalanx;sev_stems;leafystem
