"SBS.name","height","SLA","mean.LMDC..mg.g."
"487","Carex digitata",0.1,30.38,277.06
"488","Carex dioica",0.1,12.6933333333333,365.06
"489","Carex distans",0.2,20.02,300.67
"490","Carex disticha",0.425,14.54,330.36
"491","Carex divulsa",0.275,33.1,105
"492","Carex divulsa subsp. leersii",0.275,23.41,269.52
"493","Carex echinata",0.25,15.2833333333333,365.5
"494","Carex elata",0.9,13.96,345.23
"495","Carex ericetorum",0.135,NA,NA
"496","Carex extensa",0.135,9.09,321.23
"497","Carex ferruginea",0.45,NA,NA
"498","Carex firma",0.065,NA,NA
"499","Carex flacca",0.275,15.68625,329.95
"500","Carex frigida",0.185,27.9,210.13
"501","Carex fritschii",0.475,NA,NA
"502","Carex fuliginosa",0.1,NA,NA
"503","Carex hallerana",0.1155,16,388.5
"504","Carex hirta",0.45,18.2282602955556,289.885
"505","Carex hordeistichos",0.2,NA,NA
"506","Carex hostiana",0.2,15.985,349
"507","Carex humilis",0.09,18.25,344.9
"508","Carex lasiocarpa",0.65,11.2753333333333,372.743333333333
"509","Carex lepidocarpa",0.525,16.45,336.5
"510","Carex ligerica",0.185,16.5,394.31
"511","Carex limosa",0.325,27,311.97
"512","Carex magellanica",0.135,25.85,270.18
"513","Carex melanostachya",0.4,NA,NA
"514","Carex microglochin",0.06,NA,NA
"515","Carex montana",0.165,19.675,314.82
"516","Carex mucronata",0.165,NA,NA
"517","Carex muricata",0.275,17.0666666666667,338
"518","Carex muricata subsp. lamprocarpa",0.275,NA,NA
"519","Carex nigra",0.11,18.0742857142857,366.66
"520","Carex norvegica",0.05,12.76,NA
"521","Carex obtusata",0.175,NA,NA
"522","Carex ornithopoda subsp. ornithopodioides",0.04,NA,NA
"523","Carex ovalis",0.235,23.81,336
"524","Carex pallescens",0.325,30.12,270.6
"525","Carex panicea",0.15,20.16,380.47
"526","Carex paniculata",0.525,16.0325,296.19
"527","Carex parviflora",0.065,NA,NA
"528","Carex pauciflora",0.065,18.76,304.69
"529","Carex pendula",0.5,13.3,301.5
"530","Carex pilosa",0.45,25.41,299.55
"531","Carex pilulifera",0.1,19.425,328
"532","Carex praecox",0.165,16.05,NA
"533","Carex pseudobrizoides",0.4,NA,NA
"534","Carex pseudocyperus",0.35,22.91,306.98
"535","Carex pulicaris",0.1,9.45333333333333,351.385
"536","Carex punctata",0.14,30.47,301.92
"537","Carex remota",0.45,25.75,254
"538","Carex repens",0.35,NA,NA
"539","Carex riparia",1.05,11.5920358003333,325.005
"540","Carex rostrata",0.5,15.8043664642857,246.56
"541","Carex rupestris",0.075,11.05,365.75
"542","Carex saxatilis",0.125,12.2490488733333,334.53
"543","Carex scandinavica",0.125,16.38,309.78
"544","Carex secalina",0.2,NA,NA
"545","Carex sempervirens",0.15,NA,NA
"546","Carex spicata",0.275,21.76,250.576666666667
"547","Carex strigosa",0.625,36.54,162.68
"548","Carex supina",0.065,NA,NA
"549","Carex sylvatica",0.425,30.9,324
"550","Carex tomentosa",0.375,18.82,363.93
"551","Carex trinervis",0.25,18.385,276.16
"552","Carex umbrosa",0.325,21.32,388.67
"553","Carex vaginata",0.225,23.8142303933333,265.25
"554","Carex vesicaria",0.55,16.525,320.59
"555","Carlina acaulis",0.31,11.21,180.82
"556","Carlina vulgaris",0.375,33.1,97.62
