Plot,cluster7,Strata,Litter_m2,BM_yield_m2,cov_herb,cov_litter,cov_soil,latitude,longitude,fire_freq_MODIS,rec_fire_field_obs,fire_freq_check,lastfire_MODIS,lastfire_check,timesincefire_check,dung_livestock,dung_horse,dung_cattl,dung_sheepgoat,n_souslik_burrows,CWMheight,LF_530,LF_3060,pH_530,Sand_530,dist_settl_km
UN43,2,UN,,59.42,30,1,70,50.6377881,64.91868454,0,0,0,0,0,17,1,1,0,0,0,20.12121212,294,1455,7.62,12.2,9.162
UN44,4,UN,59.16,104.54,40,40,20,50.7182599,64.93735339,0,0,0,0,0,17,1,0,1,0,1,26.21875,18.2,23.3,7.13,31.7,5.086
UN45,3,UN,19.72,120.76,35,15,45,50.67263125,64.88045191,0,0,0,0,0,17,6,5,1,0,2,24,206,427,8.97,3.5,4.585
UN46,6,UN,10.2,118,30,2,68,50.64952922,65.12064574,0,0,0,0,0,17,0,0,0,0,6,21.61290323,216,345,8.45,5.1,14.396
UN47,3,UN,12.12,117.44,30,5,65,50.63213333,64.98659799,0,0,0,0,0,17,6,4,2,0,4,22.10714286,301,2290,8.76,15.6,12.41
UN48,2,UN,,52.2,40,1,60,50.7888678,64.92067675,0,0,0,0,0,17,2,1,1,0,1,12.70535714,255,691,8.39,12.6,1.209
UN49,4,UN,,137.32,65,40,10,50.78175483,64.9437435,0,0,0,0,0,17,2,2,0,0,2,25.1122449,38.8,65.4,8.28,9.7,2.931
UN50,2,UN,,66.14,35,3,65,50.80506155,64.99930554,0,0,0,0,0,17,4,0,4,0,2,25.03658537,638,852,9,7,5.08
UN51,5,UN,,,80,15,10,50.76029018,64.94777874,0,0,0,0,0,17,10,5,5,0,1,19.7890625,11.7,7.9,6.87,22.8,4.383
UN52,5,UN,77.62,137.7,50,40,10,50.76354429,64.91293748,0,0,0,0,0,17,2,1,1,0,0,16.02884615,15.1,132.8,6.97,18.2,2.76
UR01,5,UR,,122.98,35,4,60,50.53703285,65.0892613,2,1,2,2012,2012,4,0,0,0,0,1,19.46354167,112.9,947,8.77,32.4,19.789
UR03,1,UR,35.9,120.14,30,3,70,50.70248818,65.08580862,1,0,1,2005,2005,11,0,0,0,0,0,20.50862069,60.4,804,8.73,2.7,8.115
UR04,5,UR,,160.82,40,1,59,50.67035406,65.25338416,1,0,1,2014,2014,2,0,0,0,0,3,16.01282051,72,111.4,8.55,10.9,17.417
UR05,1,UR,30.28,126.54,50,15,50,50.55773221,64.77459066,1,0,1,2005,2005,11,2,0,2,0,0,31.45833333,67.8,99.2,8.14,2.2,2.099
UR06,1,UR,42.68,132.52,35,20,55,50.54622092,65.08397349,1,1,1,2012,2012,4,0,0,0,0,0,26.89285714,151.2,416,9.33,7.4,19.32
UR08,1,UR,,115.2,30,3,70,50.5083861,65.26202515,1,1,2,2012,2014,2,0,0,0,0,0,25.3030303,189.4,421,8.4,6.7,27.335
UR09,4,UR,43.72,146.22,45,50,15,50.80461664,64.92193814,1,0,1,2008,2008,8,1,1,0,0,0,23.44791667,48.4,74.9,8.36,13.7,2.218
UR11,1,UR,26.58,99.44,30,4,70,50.48281182,65.18062983,1,0,1,2012,2012,4,0,0,0,0,1,20.5,123.3,446,8.77,9.5,27.443
UR12,4,UR,,103.94,35,2,65,50.5405514,65.22272794,1,0,1,2012,2012,4,1,1,0,0,0,15.31547619,18.2,68.4,8.25,31.8,28.219
UR13,3,UR,,104.9,30,1,69,50.62691376,65.0948009,2,1,2,2014,2014,2,0,0,0,0,4,21,353,1497,8.22,5.3,16.533
UR14,4,UR,39.98,99.98,30,8,65,50.48276078,65.22542724,2,0,2,2012,2012,4,0,0,0,0,1,22.5390625,117.7,754,8.48,3,29.266
UR15,2,UR,,74.28,30,10,60,50.56403364,65.25338022,1,0,1,2012,2012,4,0,0,0,0,0,10.825,1011,2330,5.4,5.1,26.805
UR16,1,UR,,73.84,45,2,55,50.60949616,64.79518851,2,0,2,2010,2010,6,14,9,5,0,0,18.89204545,74.7,441,8.94,2.9,5.66
UR17,5,UR,11.74,145.56,45,0,55,50.60878144,65.12015641,2,1,2,2014,2014,2,0,0,0,0,1,20.70454545,34.5,43.3,8.16,19.4,18.806
UR18,4,UR,,185.2,40,3,58,50.67736846,65.12591335,1,0,1,2014,2014,2,0,0,0,0,2,16.55952381,108.6,351,8.95,5.3,11.546
UR19,5,UR,,119.98,35,2,63,50.70947441,65.13582294,1,0,1,2005,2005,11,2,2,0,0,0,14.55714286,62.4,93.7,8.09,6.5,8.64
UR20,6,UR,10,211.12,55,3,42,50.68643709,65.13619367,2,0,2,2014,2014,2,0,0,0,0,0,18.70909091,106.5,472,8.64,4.7,10.897
UR21,2,UR,,45.04,50,2,50,50.79896196,64.88076439,1,0,1,2008,2008,8,4,4,0,0,2,14.37244898,234,837,8.46,8,1.887
UR22,5,UR,10.48,73.98,30,3,70,50.69564561,65.04870915,2,0,2,2014,2014,2,8,2,6,0,1,19.30645161,34.5,346,8.32,25.1,8.885
UR23,4,UR,,133.02,35,2,65,50.49305242,65.26187193,2,0,2,2012,2012,4,0,0,0,0,1,18.61842105,64,188.2,8.56,7.6,26.953
UR24,1,UR,,72.04,15,0,85,50.63577033,64.7968058,2,1,3,2010,2015,1,5,1,1,3,1,18.78333333,110.9,728,8.55,1.2,8.539
UR27,5,UR,,90.16,40,1,59,50.66534285,65.27599032,2,1,3,2008,2014,2,8,8,0,0,7,16.30952381,469,1307,8.39,8.8,18.99
UR28,5,UR,13.18,84.94,35,4,65,50.73363609,65.0572514,1,0,1,2005,2005,11,3,1,2,0,0,14.54054054,23.3,637,7.83,11.4,4.617
UR30,1,UR,,150.52,25,2,75,50.64424242,65.23388148,2,1,3,2005,2014,2,1,1,0,0,0,18.42,67,280,8.89,12.1,18.589
UR31,2,UR,,133.1,30,1,70,50.64417503,65.28857675,2,0,2,2008,2008,8,2,2,0,0,2,24.2421875,770,2170,8.68,8.8,21.221
UR33,1,UR,35.3,276.28,60,10,30,50.52553305,65.27822946,2,1,2,2014,2014,2,0,0,0,0,0,25.0625,101.8,316,8.79,6.1,26.807
UR34,1,UR,,,20,1,80,50.47267274,65.20205909,2,1,2,2015,2015,1,0,0,0,0,1,20.8,112.2,425,8.41,0.9,29.243
